,,,,,
Adult,Weekday,Monday/Tuesday/Wednesday,2D,8.5,
Adult,Weekday,Monday/Tuesday/Wednesday,BlockBusters,9,
Adult,Weekday,Monday/Tuesday/Wednesday,3D,11,
Adult,Weekday,Monday/Tuesday/Wednesday,Platinum,25,
,,,,,
Adult,Weekday,Thursday,2D,9.5,
Adult,Weekday,Thursday,BlockBusters,10,
Adult,Weekday,Thursday,3D,11,
Adult,Weekday,Thursday,Platinum,25,
,,,,,
Adult,Weekday,Friday,bef,2D,9.5
Adult,Weekday,Friday,bef,BlockBusters,10
Adult,Weekday,Friday,bef,3D,15
Adult,Weekday,Friday,bef,Platinum,25
,,,,,
Adult,Weekday,Friday,af,2D,11
Adult,Weekday,Friday,af,BlockBusters,11.5
Adult,Weekday,Friday,af,3D,15
Adult,Weekday,Friday,af,Platinum,25
,,,,,
Adult,Weekend,2D,11,,
Adult,Weekend,BlockBusters,11.5,,
Adult,Weekend,3D,15,,
Adult,Weekend,Platinum,25,,
